Name,Addres,Modul
Dzikri,Demak,Text Minning Machine Learning Jejaring Sosial Sistem Informasi Geografis Grafika Komputer Basis Data Terdistribusi Web Service
Dicoding,Bandung,"Refleksi diri, Belajar Dasar Git dengan Github, Inisiatif, Proaktif, Bertanggung jawab, Memulai Dasar Pemrograman untuk Menjadi Pengembang Software"
Binar Academy ,Kab. Tangerang,"Mampu mendeklarasi Dasar-dasar Activity, Fragment, dan Proses Navigasi antar Screen dalam Android Studio, Mampu menggunakan fitur-fitur dasar dan penyimpanan lokal yang digunakan oleh Android"
Hacktiv8 ,Jakarta Selatan,"Android Java for Mobile Developer, Memahami serta mengimplementasikan library hingga User Interface 3rd Parties sebagai kerangka kerja awal pembuatan sebuah aplikasi Android"
Zenius ,Kota Jakarta Selatan,"Data Analytics, Dasar-Dasar Data Science, Python, Statistik, Visualisasi Data, dan Analisis Data"
BISA AI ACADEMY ,Kota Jakarta Selatan,"Bisnis Kecerdasan Artifisial (AI-HUSTLER), Jr. Project Manager, Mengenal teknik dan langkah dalam manajemen proyek ,Mengenal teknik dan langkah dalam manajemen proyek perangkat lunak"

Braindevs,"Cibubur, Kabupaten Bogor, Jawa Barat","03BD - Product Manager, Software Engineering"
M-Knows Consulting ,Kota Jakarta Selatan,"AI Programmer, Menguasai spesifikasi bahasa saat diperlukan pada kondisi tertentu (NLP)"
Home Credit Indonesia ,Kota Jakarta Selatan,"Android Developer, Bahasa Pemograman, Kerjasama tim secara dinamis "
Bukit Vista ,Yogyakarta,"Backend Developer,  Implementasi Database - NoSQL,  Implementasi NodeJS REST API - Server Side Caching"
NF Computer PT Nurul Fikri Cipta Inovasi,Jawa Barat,Soft Skill UI UX Design Pattern Pemrograman Mobile Code Versioning Dasar Dasar Pemrograman Databases Final Project
